Filename,Page No.,Yadi Bhag No.,Boundary Description (Marathi)
046-Sophia_Zubair_Road.pdf,1,0046,"1 .अ).सोफिया झुबेर रोड म यु.घ.नं.50ते110.खंड 1, 2.ब).सोफिया झुबेर रोड,30ते48ःमनिवि31ःखंड 2, 3.क).सोफिया झुबेर सजा रोड,111ते119ःमनिवि317खंड 3"
047-Sophia_Zubair_Road.pdf,1,0047,"1अ)सोफिया झुबेर रोड3ते109 हाऊस,खंड 4"
048-Sir_J.J._Marg.pdf,1,0048,"1अ)सोफिया झुबेर रोड,90बी ते 90सी (मनिवि31) खंड 5, 2 ब)डिमटिमकर रोड,101 ते 183 (मनिवि-30) खंड-2"
049-Sir_J.J._Marg.pdf,1,0049,"1अ)सोफीया झुबेररोड,90ए तेएस.पी.रोड(मनिवि31)खंड6, 2.ब)डिमटिमकर रोड,22 ते 62 (मनिवि31) खंड 1"
050-Sir_J.J._Marg.pdf,1,0050,"1. ओटेमकर मार्ग,87 ते 131 (मनिवि 30) खंड 1, 2ब)शेख बुरहाण कमरुद्दीन मार्ग,23ते99(मनिवि30)खंड 1, 3.क)बरकतअली विरानी मार्ग 95ते 151 आणि यासिन पॅलेस मनिबि-30,खंड-1"
051-Sir_J.J._Marg.pdf,1,0051,"1 अ)सर ज.जी रोड,384-430 (म.नि.वि.31) खंड 1, 2ब)टेमकर स्ट्रीट,म्यु.घ.नं.4 ते 52(म.नि.वि.30)खंड2"
052-Sir_J.J._Marg.pdf,1,0052,"1.अ).सर जमशेदजी जिजीभॉय रोड,340ते346सी (मनिवि31)खंड2, 2.ब.4थी पिरखान रोड,(मनिवि31) खंड 1, 3 क).उंद्रिया रोड,7ते51(मनिवि30) खंड 1, = ST 4 ड)उंद्रियारोड,53ते81(मनिवि30)खंड-2, 5ई).डिमटिमकर रोड,23ते39(मनिवि30) खंड 3"
053-Dimtimkar_Road.pdf,1,0053,"पिरखान रोड,(मनिवि31)खंड 1, 2.ब)मौलाना आद्याद मार्ग,1ते53,(मनिवि30)खंड 2, 3.क)टॅक रोड,48ते50, जुम्मन वर्कशॉप,52 मरियम बाई चाळ सजा (मनिवि30) खंड 1, 4 ड)मौलाना arene Ve ete लेन,10,(मनिवि30)खंड1, 5.इ)मौलाना सजा आझाद रोड,175ते265(मनिवि30)खंड 3"
054-Dimtimkar_Road.pdf,1,0054,"1.अ)मोलाना आझाद रोड,89ते159 लहरी बिल्डींग खंड 4, 2.ब)टँक रोड,म यु.घ.नं.109ते145(मनिवि30) खंड 1"
055-Dimtimkar_Road.pdf,1,0055,"1अ)टॅक स्ट्रीट म्यु.घ.नं.2-4 हातीम पॅलेस बी ते 44-46,खातीजा मंझील"
056-2ND_PIRKHAN_STREET.pdf,1,0056,"1.आअ)डिम टिमकर रोड,63 ते 77(मनिवि 30) खंड 4,2 ब)शे. बु. कमरुंद्दीन मार्ग 96 ते 116 (मनिवि 30) खंड 2"
057-2ND_PIRKHAN_STREET.pdf,1,0057,"1अ)3 री पीरखान स्टीट (मनिवि-30)खंड-1,2 ब)बरकतअली विरानी मार्ग,132 ते 150(मनिवि-20)खंड-2"
058-2ND_PIRKHAN_STREET.pdf,1,0058,"1अ) 2 री पीरखान गल्ली,(मनिवि -31)खंड-1, 2ब)शेख बु-हानी कमरूददीन मार्ग,म्यु.घ.न॑ 24 रसुल जीवा बिल्डींग ते 92-94 मुन्सीफ बिल्डींग (मनिवि30) खंड 3"
059-Mastan_Tack_Road.pdf,1,0059,"(1. आ)खांडीया मार्ग (क्रॉसलेन)2ते12(मनिवि30) खंड 1, 2ब)उंद्रिया मार्ग,2ेते 110 (मनिवि-30)खंड-3"
060-Mastan_Tack_Road.pdf,1,0060,"1 .अ)डिमटीमकर रोड,82ते144,(मनि्वि39) खंड 5"
061-Mastan_Tack_Road.pdf,1,0061,"1. अ)उंद्रीया मार्ग,म, यु.घ.न.83ते119(मनिवि 30) खंड, 2ब)टँकमार्ग,म्यु.घ.नं.57ते77(मनिवि-30) खंड-3, 3क)मौलानाअली सजा मार्ग,म्यु.घ.नं.72ते110 (मनिवि-30) खंड-3"
062-Mastan_Tack_Road.pdf,1,0062,"1)काझीपुरा हाजी कासम चाळ,19ते30(मनिवि 30) खंड 1"
063-Mastan_Tack_Road.pdf,1,0063,"1अ) खांडीया मार्ग,म्यु.घ.नं.1ते 75(मनिवि-30)खंड-2, 2 ब)टॅक मार्ग,1-5 अली मंजिल ते 33 रुबी मंझिल (मनिवि30) खंड 5"
064-Mastan_Tack_Road.pdf,1,0064,"1अ) टॅक रोड,54ते 110,(मनिवि-30)खंड-4, 2ब)मस तान टँक रोड,15 ते 57,(म.नि.वि.30), खंड1"
065-Mastan_Tack_Road.pdf,1,0065,"a _ 1अ)खांडिया मार्ग,म्यु.घ.नं.40ते76(मनिवि-30)खंड-3, टेमकर मार्गं,म्यु.घ.नं.54ते 142(मनिवि-30)खंड-3, 3 क)मस्तान टॅकमार्ग सजा 30)खंड 2, 4 ड)उंद्रीया मार्ग,(क्रॉसलेन),म्यु.घ.नं.12ते24(मनिवि 30)खंड5, सपना )टेमकरमार्ग,म्यु.घ.नं 73ते75 उस्मानिया बिल्डींग ते 85सुलेमान बिल्डींग(मनिवि30)खंड 4"
066-Mastan_Tack_Road.pdf,1,0066,"1 at) बरकत अली विरानी मार्ग,26ते130(मनिवि30)खंड 3, 2 बो)टॅक मार्ग 35 -39 बोरी चाळ ते 41 -49 हातिमा मंजिल (मनिवि 30)खंड 6"
067-Mastan_Tack_Road.pdf,1,0067,"1 .काझीपुरा हाजी कासम चाळ,1ते18(मनिवि30)खंड 2"
