filename,page,content,confidence,original_content
051-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,अ) मेघराज सेठी मार्ग म्युनिसिपल घर 2 ते ईस्लाम बिल्डिंग माळाबैठी चाळ | ब) महंमद सिद्दीक अन्सारी लेन (मिल्क स्ट्रीट) म्युनिसिपल घर 14 ते पत्रा चाळ क्रमांक 8 च्या पत्रा माळा झोपडपट्टीक) गणेश हरी पारंडेकर मार्ग म्युनिसिपल घर 25 सुशांति चर्च ते 85-89,90,
052-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,अ) महंमद सिद्दीक अन्सारी लेन (मिल्क स्ट्रीट) | ब) बाबुराव जगताप मार्ग म्युनिसिपल घर 812 ते 826,93,
053-Ganesh_Hari_Parundekar_Marg_Momin_Pura.pdf,1,हफीज अली बहादुरखान मार्ग (टॅक पाखाडीयॉ मार्ग) म्युनिसिपल घर 16 ते 54 आणि जवळील झोपडपट्टी,88,
054-790_Bapurao_Jagtap_Marg.pdf,1,"अ) हफीज अली बहादुरखान मार्ग (टँक पाखाडीया मार्ग) म्युनिसिपल घर 74, 1 ला माळा बिल्डींग ते म्युनिसिपल घर 96 हमीद बिल्डींग | ब) हाफोज अली बहादुर खान मार्ग (टॅक पाखाडीया मार्ग) न्यु खटाव माखनजी बिल्डिंग क्रमांक 5 आणि जवळील झोपडपट्टी | क) बाबूराव जगताप मार्ग म्युनिसिपल घर 845 ते 867 ए",91,
055-790_Bapurao_Jagtap_Marg.pdf,1,"मोहम्मद सिद्दीक अन्सारी लेन (मिल्क स्ट्रीट) म्युनिसिपल घर 9 ए, ईरफान बिल्डींग जवळील झोपडपट्टी आणि ट्रॉन्झिस्ट कॅम्प चाळ क्रमांक 1 ते 16",90,
056-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,मोहम्मद सिद्दीक अन्सारी लेन (मिल्क स्ट्रीट) ट्रॉन्झिस्ट कॅम्प चाळ क्रमांक 17 ते 27 आणि मिल्क स्ट्रीटच्या फूटपाथवरील झोपडपट्टी,91,
057-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,अ) बापूराव जगताप मार्ग म्युनिसिपल घर 785 दत्ताराम बिल्डींग ते म्युनिसिपल घर 797-807 खलीफा चाळ | ब) हलका -ई-अहबाब मार्ग (साखळी स्ट्रीट चौथी क्राँस लेन) | क) बापूराव जगताप मार्ग म्युनिसिपल घर 821 ते 823 हनुमान प्रसाद बि. ते. म्युनिसिपल घर 845 शिवनेरी बि,93,
058-Mohammad_Siddique_Ansari_Lane_(Milk_Street).pdf,1,मोहम्मद सिद्दीकी अन्सारी लेन (मिल्क स्ट्रीट) बी. आय. टी. चाळ क्रमांक 3 आणि 4,92,
"059-Meghraj_Shethi_Marg,_Bychala.pdf",1,अ) गणेश हरी पारंडेकर मार्ग म्युनिसिपल घर 91 ते 101 | ब) मौलाना आझाद रोड म्युनिसिपल घर 79 ते 111,93,
060-Meghraj_Shethi_Marg_Bychala.pdf,1,"वॉटर स्ट्रीट, खटाव मिल झोपडपट्टी ते लक्की कंपाऊड बिल्डींग क्रमांक 7",89,
061-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) हाफिज अली बहादुरखान मार्ग (टँक पाखाडी मार्ग) म्युनिसिपल घर क्रमांक 51 ते 81 म्यु चाळ क्रमांक 6 ब) बदलु रंगारी स्ट्रीट म्युनिसिपल घर 17 ते 21,89,
062-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) नामदेव मुरलीधर जोशी मार्ग भायखळा जवळील झोपडी म्युनिसिपल घर 687 महावीर इस्टेट | ब) गणेश हरी पारंडेकर मार्ग म्युनिसिपल घर 15 जी ते 21 | क) बॉम्बे स्ट्रीट लकी कॅम्पा बिल्डिंग क्रमांक 8 ते म्युनिसिपल घर 18 न्यू लाल चाळ क्रमांक 9 | ड) साखळी स्ट्रीट तिसरी क्रॉस लेन म्युनिसिपल घर 4 ते 12 | ई) डिलाईल रोड क्रॉस लेन म्युनिसिपल घर 7 ते 11,91,
063-Meghraj_Shethi_Marg_Bychala.pdf,1,बदल रंगारी स्ट्रीट म्युनिसिपल घर 2 पत्रा चाळ क्रमांक 4 ते म्युनिसिपल घर 8-12 अशरफी मंजील,88,
064-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) मेघराज सेठी मार्ग बंबखान्याजबळील झोपडपट्टी ते आगाखान चाळ | ब) गणेश हरी पारूंडेकर मार्ग साई महंमद चाळ ते बॉम्बे आंध्राट्रॉन्सपोर्ट जवळील झोपडया,92,
065-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) बदल रंगारी स्ट्रीट म्युनिसिपल घर 19 इस्लाममिया बिल्डींग ते 20 किस्मत मंझील | ब) मौलाना आझाद रोड म्युनिसिपल घर 117 ते 137,92,
066-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) सुंदर लेन म्युनिसिपल घर 1 ते 9 | ब) बापुराव जगताप मार्ग म्युनिसिपल घर 901 ते 935 ब वकील चाळ कंपाऊंड जवळील झोपडपट्टी,93,
067-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) साखळी स्ट्रीट पहिली क्रॉस लेन | ब) साखळी स्ट्रीट 2 री क्रॉस लेन,93,
068-Meghraj_Shethi_Marg_Bychala.pdf,1,साखळी स्ट्रीट तिसरी क्रॉस लेन म्युनिसिपल घर 5 ते 15 व विठ्ठल मंदीराजवळील झोपडपट्टी,91,
069-Meghraj_Shethi_Marg_Bychala.pdf,1,अ) बापुराव जगताप मार्ग म्युनिसिपल घर 774 ते 808 | ब) बापुराव जगताप मार्ग म्युनिसिपल घर 868 ते 924,89,
070-Meghraj_Shethi_Marg_Bychala.pdf,1,बदल रंगारी स्ट्रीट म्युनिसिपल घर 7 म्युनिसिपल पत्रा चाळ क्रमांक 1 ते म्युनिसिपल घर 15,86,
071-Meghraj_Shethi_Marg_Bychala.pdf,1,सुंदर लेन म्युनिसिपल घर 8-20 ते चैतन्य बिल्डींग,93,
072-Meghraj_Shethi_Marg_Bychala.pdf,1,मौलाना आझाद रोड म्युनिसिपल घर 147 ते 165 एफ | ब) मौलाना आझाद रोड म्युनिसिपल घर 177 ते 187 | क) साखळी स्ट्रीट 5 वी क्रॉस लेन,92,
073-Sant_Savata_Marg_Byculla.pdf,1,अ) डॉ. बाबा साहेब आंबेडकर रोड म्युनिसिपल घर 228 ते 242 | ब) नामदेव उमाजी भालिंगे मार्ग म्युनिसिपल घर 3 ते 3 व 2 ते 10 | क) नामदेव उमाजी भालिंगे मार्ग पहिली क्रॉस लेन,90,
